Year,Statistic,Name,Team,#
1941,Base on Balls,Elbie Fletcher,Pittsburgh,118
1941,Batting Average,Pete Reiser,Brooklyn,.343
1941,Doubles,Johnny Mize,St. Louis,39
1941,Hits,Stan Hack,Chicago,186
1941,Home Runs,Dolph Camilli,Brooklyn,34
1941,On Base Percentage,Elbie Fletcher,Pittsburgh,.421
1941,RBI,Dolph Camilli,Brooklyn,120
1941,Runs,Pete Reiser,Brooklyn,117
1941,Slugging Average,Pete Reiser,Brooklyn,.558
1941,Stolen Bases,Danny Murtaugh,Pittsburgh,18
1941,Total Bases,Pete Reiser,Brooklyn,299
1941,Triples,Pete Reiser,Brooklyn,17
1941,Statistic,Name(s),Team(s),#
