Year,Statistic,Name,Team,#
1971,Base on Balls,Willie Mays,San Francisco,112
1971,Batting Average,Joe Torre,St. Louis,.363
1971,Doubles,Cesar Cedeno,Houston,40
1971,Hits,Joe Torre,St. Louis,230
1971,Home Runs,Willie Stargell,Pittsburgh,48
1971,On Base Percentage,Willie Mays,San Francisco,.429
1971,RBI,Joe Torre,St. Louis,137
1971,Runs,Lou Brock,St. Louis,126
1971,Slugging Average,Hank Aaron,Atlanta,.669
1971,Stolen Bases,Lou Brock,St. Louis,64
1971,Total Bases,Joe Torre,St. Louis,352
1971,Triples,Roger Metzger,Houston,11
1971,Statistic,Name(s),Team(s),#
