Year,Statistic,Name,Team,#
1946,Base on Balls,Eddie Stanky,Brooklyn,137
1946,Batting Average,Stan Musial,St. Louis,.365
1946,Doubles,Stan Musial,St. Louis,50
1946,Hits,Stan Musial,St. Louis,228
1946,Home Runs,Ralph Kiner,Pittsburgh,23
1946,On Base Percentage,Eddie Stanky,Brooklyn,.436
1946,RBI,Enos Slaughter,St. Louis,130
1946,Runs,Stan Musial,St. Louis,124
1946,Slugging Average,Stan Musial,St. Louis,.587
1946,Stolen Bases,Pete Reiser,Brooklyn,34
1946,Total Bases,Stan Musial,St. Louis,366
1946,Triples,Stan Musial,St. Louis,20
1946,Statistic,Name(s),Team(s),#
