Year,Statistic,Name,Team,#
1959,Base on Balls,Jim Gilliam,Los Angeles,96
1959,Batting Average,Hank Aaron,Milwaukee,.355
1959,Doubles,Vada Pinson,Cincinnati,47
1959,Hits,Hank Aaron,Milwaukee,223
1959,Home Runs,Eddie Mathews,Milwaukee,46
1959,On Base Percentage,Joe Cunningham,St. Louis,.453
1959,RBI,Ernie Banks,Chicago,143
1959,Runs,Vada Pinson,Cincinnati,131
1959,Slugging Average,Hank Aaron,Milwaukee,.636
1959,Stolen Bases,Willie Mays,San Francisco,27
1959,Total Bases,Hank Aaron,Milwaukee,400
1959,Triples,Wally Moon,Los Angeles,11
1959,Statistic,Name(s),Team(s),#
