Year,Statistic,Name,Team,#
2008,Base on Balls,Adam Dunn,Arizona,122
2008,Batting Average,Chipper Jones,Atlanta,.364
2008,Doubles,Lance Berkman,Houston,46
2008,Hits,Jose Reyes,New York,204
2008,Home Runs,Ryan Howard,Philadelphia,48
2008,On Base Percentage,Chipper Jones,Atlanta,.470
2008,RBI,Ryan Howard,Philadelphia,146
2008,Runs,Hanley Ramirez,Florida,125
2008,Slugging Average,Albert Pujols,St. Louis,.653
2008,Stolen Bases,Willy Taveras,Colorado,68
2008,Total Bases,Albert Pujols,St. Louis,342
2008,Triples,Jose Reyes,New York,19
2008,Statistic,Name,Team,#
