Year,Statistic,Name,Team,#
1970,Base on Balls,Willie McCovey,San Francisco,137
1970,Batting Average,Rico Carty,Atlanta,.366
1970,Doubles,Wes Parker,Los Angeles,47
1970,Hits,Pete Rose,Cincinnati,205
1970,Home Runs,Johnny Bench,Cincinnati,45
1970,On Base Percentage,Rico Carty,Atlanta,.456
1970,RBI,Johnny Bench,Cincinnati,148
1970,Runs,Billy Williams,Chicago,137
1970,Slugging Average,Willie McCovey,San Francisco,.612
1970,Stolen Bases,Bobby Tolan,Cincinnati,57
1970,Total Bases,Billy Williams,Chicago,373
1970,Triples,Willie Davis,Los Angeles,16
1970,Statistic,Name(s),Team(s),#
