Year,Statistic,Name,Team,#
1890,Base on Balls,Cap Anson,Chicago,113
1890,Batting Average,Jack Glasscock,New York,.336
1890,Doubles,Sam Thompson,Philadelphia,41
1890,Hits,Jack Glasscock,New York,172
1890,Home Runs,Oyster Burns,Brooklyn,13
1890,On Base Percentage,Cap Anson,Chicago,.443
1890,RBI,Oyster Burns,Brooklyn,128
1890,Runs,Hub Collins,Brooklyn,148
1890,Slugging Average,Mike Tiernan,New York,.495
1890,Total Bases,Mike Tiernan,New York,274
1890,Triples,John Reilly,Cincinnati,26
1890,Statistic,Name(s),Team(s),#
