Year,Statistic,Name,Team,#
1907,Base on Balls,Miller Huggins,Cincinnati,83
1907,Batting Average,Honus Wagner,Pittsburgh,.350
1907,Doubles,Honus Wagner,Pittsburgh,38
1907,Hits,Ginger Beaumont,Boston,187
1907,Home Runs,Dave Brain,Boston,10
1907,On Base Percentage,Honus Wagner,Pittsburgh,.408
1907,RBI,Sherry Magee,Philadelphia,85
1907,Runs,Spike Shannon,New York,104
1907,Slugging Average,Honus Wagner,Pittsburgh,.513
1907,Stolen Bases,Honus Wagner,Pittsburgh,61
1907,Total Bases,Honus Wagner,Pittsburgh,264
1907,Triples,Whitey Alperman,Brooklyn,16
1907,Statistic,Name(s),Team(s),#
