Year,Statistic,Name,Team,#
1930,Base on Balls,Hack Wilson,Chicago,105
1930,Batting Average,Bill Terry,New York,.401
1930,Doubles,Chuck Klein,Philadelphia,59
1930,Hits,Bill Terry,New York,254
1930,Home Runs,Hack Wilson,Chicago,56
1930,On Base Percentage,Mel Ott,New York,.458
1930,RBI,Hack Wilson,Chicago,191
1930,Runs,Chuck Klein,Philadelphia,158
1930,Slugging Average,Hack Wilson,Chicago,.723
1930,Stolen Bases,Kiki Cuyler,Chicago,37
1930,Total Bases,Chuck Klein,Philadelphia,445
1930,Triples,Adam Comorosky,Pittsburgh,23
1930,Statistic,Name(s),Team(s),#
