Year,Statistic,Name,Team,#
1982,Base on Balls,Mike Schmidt,Philadelphia,107
1982,Batting Average,Al Oliver,Montreal,.331
1982,Doubles,Al Oliver,Montreal,43
1982,Hits,Al Oliver,Montreal,204
1982,Home Runs,Dave Kingman,New York,37
1982,On Base Percentage,Mike Schmidt,Philadelphia,.407
1982,RBI,Dale Murphy,Atlanta,109
1982,Runs,Lonnie Smith,St. Louis,120
1982,Slugging Average,Mike Schmidt,Philadelphia,.547
1982,Stolen Bases,Tim Raines,Montreal,78
1982,Total Bases,Al Oliver,Montreal,317
1982,Triples,Dickie Thon,Houston,10
1982,Statistic,Name(s),Team(s),#
