Year,Statistic,Name,Team,#
2014,Base on Balls,Matt Carpenter,St. Louis,95
2014,Batting Average,Justin Morneau,Colorado,.319
2014,Doubles,Jonathan Lucroy,Milwaukee,53
2014,Hits,Ben Revere,Philadelphia,184
2014,Home Runs,Giancarlo Stanton,Miami,37
2014,On Base Percentage,Andrew McCutchen,Pittsburgh,.410
2014,RBI,Adrian Gonzalez,Los Angeles,116
2014,Runs,Anthony Rendon,Washington,111
2014,Slugging Average,Giancarlo Stanton,Miami,.555
2014,Stolen Bases,Dee Strange-Gordon,Los Angeles,64
2014,Total Bases,Giancarlo Stanton,Miami,299
2014,Triples,Dee Strange-Gordon,Los Angeles,12
2014,Statistic,Name,Team,#
