Year,Statistic,Name,Team,#
1893,Base on Balls,Jack Crooks,St. Louis,121
1893,Batting Average,Hugh Duffy,Boston,.363
1893,Doubles,Sam Thompson,Philadelphia,37
1893,Hits,Sam Thompson,Philadelphia,222
1893,Home Runs,Ed Delahanty,Philadelphia,19
1893,On Base Percentage,Billy Hamilton,Philadelphia,.490
1893,RBI,Ed Delahanty,Philadelphia,146
1893,Runs,Herman Long,Boston,149
1893,Slugging Average,Ed Delahanty,Philadelphia,.583
1893,Stolen Bases,Tom Brown,Louisville,66
1893,Total Bases,Ed Delahanty,Philadelphia,347
1893,Triples,Perry Werden,St. Louis,29
1893,Statistic,Name(s),Team(s),#
