Year,Statistic,Name,Team,#
1916,Base on Balls,Heinie Groh,Cincinnati,84
1916,Batting Average,Hal Chase,Cincinnati,.339
1916,Doubles,Bert Niehoff,Philadelphia,42
1916,Hits,Hal Chase,Cincinnati,184
1916,Home Runs,Dave Robertson,New York,12
1916,On Base Percentage,Gavvy Cravath,Philadelphia,.379
1916,RBI,Heinie Zimmerman,Chicago,83
1916,Runs,George Burns,New York,105
1916,Slugging Average,Zack Wheat,Brooklyn,.461
1916,Stolen Bases,Max Carey,Pittsburgh,63
1916,Total Bases,Zack Wheat,Brooklyn,262
1916,Triples,Bill Hinchman,Pittsburgh,16
1916,Statistic,Name(s),Team(s),#
