Year,Statistic,Name,Team,#
1935,Base on Balls,Arky Vaughan,Pittsburgh,97
1935,Batting Average,Arky Vaughan,Pittsburgh,.385
1935,Doubles,Billy Herman,Chicago,57
1935,Hits,Billy Herman,Chicago,227
1935,Home Runs,Wally Berger,Boston,34
1935,On Base Percentage,Arky Vaughan,Pittsburgh,.491
1935,RBI,Wally Berger,Boston,130
1935,Runs,Augie Galan,Chicago,133
1935,Slugging Average,Arky Vaughan,Pittsburgh,.607
1935,Stolen Bases,Augie Galan,Chicago,22
1935,Total Bases,Joe Medwick,St. Louis,365
1935,Triples,Ival Goodman,Cincinnati,18
1935,Statistic,Name(s),Team(s),#
