Year,Statistic,Name,Team,#
1906,Complete Games,Irv Young,Boston,37
1906,ERA,Mordecai Brown,Chicago,1.04
1906,Games,Joe McGinnity,New York,45
1906,Saves,George Ferguson,New York,7
1906,Shutouts,Mordecai Brown,Chicago,9
1906,Strikeouts,Fred Beebe,Chicago,171
1906,Winning Percentage,Ed Reulbach,Chicago,.826
1906,Wins,Joe McGinnity,New York,27
1906,Statistic,Name(s),Team(s),#
