Year,Statistic,Name,Team,#
1878,Base on Balls,Terry Larkin,Chicago,17
1878,Batting Average,Paul Hines,Providence,.358
1878,Doubles,Dick Higham,Providence,22
1878,Hits,Joe Start,Chicago,100
1878,Home Runs,Paul Hines,Providence,4
1878,On Base Percentage,Bob Ferguson,Chicago,.375
1878,RBI,Paul Hines,Providence,50
1878,Runs,Dick Higham,Providence,60
1878,Slugging Average,Paul Hines,Providence,.486
1878,Total Bases,Paul Hines,Providence,125
1878,Triples,Tom York,Providence,10
1878,Statistic,Name(s),Team(s),#
