Year,Statistic,Name,Team,#
1996,Base on Balls,Barry Bonds,San Francisco,151
1996,Batting Average,Tony Gwynn,San Diego,.353
1996,Doubles,Jeff Bagwell,Houston,48
1996,Hits,Lance Johnson,New York,227
1996,Home Runs,Andres Galarraga,Colorado,47
1996,On Base Percentage,Gary Sheffield,Florida,.469
1996,RBI,Andres Galarraga,Colorado,150
1996,Runs,Ellis Burks,Colorado,142
1996,Slugging Average,Ellis Burks,Colorado,.639
1996,Stolen Bases,Eric Young,Colorado,53
1996,Total Bases,Ellis Burks,Colorado,392
1996,Triples,Lance Johnson,New York,21
1996,Statistic,Name,Team,#
