Year,Statistic,Name,Team,#
1926,Base on Balls,Hack Wilson,Chicago,69
1926,Batting Average,Bubbles Hargrave,Cincinnati,.353
1926,Doubles,Jim Bottomley,St. Louis,40
1926,Hits,Eddie Brown,Boston,201
1926,Home Runs,Hack Wilson,Chicago,21
1926,On Base Percentage,Paul Waner,Pittsburgh,.413
1926,RBI,Jim Bottomley,St. Louis,120
1926,Runs,Kiki Cuyler,Pittsburgh,113
1926,Slugging Average,Cy Williams,Philadelphia,.568
1926,Stolen Bases,Kiki Cuyler,Pittsburgh,35
1926,Total Bases,Jim Bottomley,St. Louis,305
1926,Triples,Paul Waner,Pittsburgh,22
1926,Statistic,Name(s),Team(s),#
