Year,Statistic,Name,Team,#
1936,Base on Balls,Arky Vaughan,Pittsburgh,118
1936,Batting Average,Paul Waner,Pittsburgh,.373
1936,Doubles,Joe Medwick,St. Louis,64
1936,Hits,Joe Medwick,St. Louis,223
1936,Home Runs,Mel Ott,New York,33
1936,On Base Percentage,Arky Vaughan,Pittsburgh,.453
1936,RBI,Joe Medwick,St. Louis,138
1936,Runs,Arky Vaughan,Pittsburgh,122
1936,Slugging Average,Mel Ott,New York,.488
1936,Stolen Bases,Pepper Martin,St. Louis,23
1936,Total Bases,Joe Medwick,St. Louis,367
1936,Triples,Ival Goodman,Cincinnati,14
1936,Statistic,Name(s),Team(s),#
