Year,Statistic,Name,Team,#
1923,Complete Games,Burleigh Grimes,Brooklyn,33
1923,ERA,Dolf Luque,Cincinnati,1.93
1923,Games,Claude Jonnard,New York,45
1923,Saves,Claude Jonnard,New York,5
1923,Shutouts,Dolf Luque,Cincinnati,5
1923,Strikeouts,Dazzy Vance,Brooklyn,197
1923,Winning Percentage,Dolf Luque,Cincinnati,.771
1923,Wins,Dolf Luque,Cincinnati,27
1923,Statistic,Name(s),Team(s),#
