Year,Statistic,Name,Team,#
1884,Complete Games,Old Hoss Radbourn,Providence,73
1884,ERA,Old Hoss Radbourn,Providence,1.38
1884,Games,Old Hoss Radbourn,Providence,75
1884,Saves,John Morrill,Boston,2
1884,Shutouts,Pud Galvin,Buffalo,12
1884,Strikeouts,Old Hoss Radbourn,Providence,441
1884,Winning Percentage,Old Hoss Radbourn,Providence,.831
1884,Wins,Old Hoss Radbourn,Providence,59
1884,Statistic,Name(s),Team(s),#
