Year,Statistic,Name,Team,#
1974,Base on Balls,Darrell Evans,Atlanta,126
1974,Batting Average,Ralph Garr,Atlanta,.353
1974,Doubles,Pete Rose,Cincinnati,45
1974,Hits,Ralph Garr,Atlanta,214
1974,Home Runs,Mike Schmidt,Philadelphia,36
1974,On Base Percentage,Joe Morgan,Cincinnati,.430
1974,RBI,Johnny Bench,Cincinnati,129
1974,Runs,Pete Rose,Cincinnati,110
1974,Slugging Average,Mike Schmidt,Philadelphia,.546
1974,Stolen Bases,Lou Brock,St. Louis,118
1974,Total Bases,Johnny Bench,Cincinnati,315
1974,Triples,Ralph Garr,Atlanta,17
1974,Statistic,Name(s),Team(s),#
