Year,Statistic,Name,Team,#
1886,Base on Balls,George Gore,Chicago,102
1886,Batting Average,King Kelly,Chicago,.388
1886,Doubles,Dan Brouthers,Detroit,40
1886,Hits,Hardy Richardson,Detroit,189
1886,Home Runs,Dan Brouthers,Detroit,11
1886,On Base Percentage,King Kelly,Chicago,.483
1886,RBI,Cap Anson,Chicago,147
1886,Runs,King Kelly,Chicago,155
1886,Slugging Average,Dan Brouthers,Detroit,.581
1886,Total Bases,Dan Brouthers,Detroit,284
1886,Triples,Roger Connor,New York,20
1886,Statistic,Name(s),Team(s),#
