Year,Statistic,Name,Team,#
1891,Base on Balls,Billy Hamilton,Philadelphia,102
1891,Batting Average,Billy Hamilton,Philadelphia,.340
1891,Doubles,Mike Griffin,Brooklyn,36
1891,Hits,Billy Hamilton,Philadelphia,179
1891,Home Runs,Harry Stovey,Boston,16
1891,On Base Percentage,Billy Hamilton,Philadelphia,.453
1891,RBI,Cap Anson,Chicago,120
1891,Runs,Billy Hamilton,Philadelphia,141
1891,Slugging Average,Harry Stovey,Boston,.498
1891,Stolen Bases,Billy Hamilton,Philadelphia,111
1891,Total Bases,Harry Stovey,Boston,271
1891,Triples,Harry Stovey,Boston,20
1891,Statistic,Name(s),Team(s),#
