Year,Statistic,Name,Team,#
1990,Base on Balls,Jack Clark,San Diego,104
1990,Batting Average,Willie McGee,St. Louis,.335
1990,Doubles,Gregg Jefferies,New York,40
1990,Hits,Brett Butler,San Francisco,192
1990,Home Runs,Ryne Sandberg,Chicago,40
1990,On Base Percentage,Dave Magadan,New York,.425
1990,RBI,Matt Williams,San Francisco,122
1990,Runs,Ryne Sandberg,Chicago,116
1990,Slugging Average,Barry Bonds,Pittsburgh,.565
1990,Stolen Bases,Vince Coleman,St. Louis,77
1990,Total Bases,Ryne Sandberg,Chicago,344
1990,Triples,Mariano Duncan,Cincinnati,11
1990,Statistic,Name,Team,#
