Year,Statistic,Name,Team,#
2002,Base on Balls,Barry Bonds,San Francisco,198
2002,Batting Average,Barry Bonds,San Francisco,.370
2002,Doubles,Bobby Abreu,Philadelphia,50
2002,Hits,Vladimir Guerrero,Montreal,206
2002,Home Runs,Sammy Sosa,Chicago,49
2002,On Base Percentage,Barry Bonds,San Francisco,.582
2002,RBI,Lance Berkman,Houston,128
2002,Runs,Sammy Sosa,Chicago,122
2002,Slugging Average,Barry Bonds,San Francisco,.799
2002,Stolen Bases,Luis Castillo,Florida,48
2002,Total Bases,Vladimir Guerrero,Montreal,364
2002,Triples,Jimmy Rollins,Philadelphia,10
2002,Statistic,Name,Team,#
