Year,Statistic,Name,Team,#
2024,Base on Balls,Kyle Schwarber,Philadelphia,105
2024,Batting Average,Luis Arraez,Miami,.314
2024,Doubles,Ezequiel Tovar,Colorado,45
2024,Hits,Luis Arraez,Miami,200
2024,Home Runs,Shohei Ohtani,Los Angeles,54
2024,On Base Percentage,Shohei Ohtani,Los Angeles,.390
2024,RBI,Shohei Ohtani,Los Angeles,130
2024,Runs,Shohei Ohtani,Los Angeles,134
2024,Slugging Average,Shohei Ohtani,Los Angeles,.646
2024,Stolen Bases,Elly De La Cruz,Cincinnati,67
2024,Total Bases,Shohei Ohtani,Los Angeles,411
2024,Triples,Corbin Carroll,Arizona,14
2024,Statistic,Name,Team,#
