Year,Statistic,Name,Team,#
1956,Base on Balls,Duke Snider,Brooklyn,99
1956,Batting Average,Hank Aaron,Milwaukee,.328
1956,Doubles,Hank Aaron,Milwaukee,34
1956,Hits,Hank Aaron,Milwaukee,200
1956,Home Runs,Duke Snider,Brooklyn,43
1956,On Base Percentage,Duke Snider,Brooklyn,.402
1956,RBI,Stan Musial,St. Louis,109
1956,Runs,Frank Robinson,Cincinnati,122
1956,Slugging Average,Duke Snider,Brooklyn,.598
1956,Stolen Bases,Willie Mays,New York,40
1956,Total Bases,Hank Aaron,Milwaukee,340
1956,Triples,Bill Bruton,Milwaukee,15
1956,Statistic,Name(s),Team(s),#
