Date,Description,Year
April 5,"th, New York Yankees icon Babe Ruth collapsed suddenly at a railroad station in Asheville, North Carolina. He later underwent an emergency operation for an ulcer at New York Hospital on April 17th and remained in bed until May 26th.",1925
April 14,the Chicago Cubs began broadcasting via radio regular season games and their announcer was Quin Ryan of WGN.,1925
