Date,Description,Year
May 14,"th, Walter ""The Big Train"" Johnson topped Jack Coombs with a record of fifty-six straight scoreless innings as his Washington Senators beat the St. Louis Browns 10-5 at Sportsman's Park III.",1913
April 9,", Charlie Ebbets' field of dreams opened its doors to 10,000 fans who watched as the Philadelphia Phillies defeated the hometown Brooklyn Superbas 1-0.",1913
