Year,Statistic,Name,Team,#
1967,Base on Balls,Ron Santo,Chicago,96
1967,Batting Average,Roberto Clemente,Pittsburgh,.357
1967,Doubles,Rusty Staub,Houston,44
1967,Hits,Roberto Clemente,Pittsburgh,209
1967,Home Runs,Hank Aaron,Atlanta,37
1967,On Base Percentage,Dick Allen,Philadelphia,.404
1967,RBI,Orlando Cepeda,St. Louis,111
1967,Runs,Hank Aaron,Atlanta,113
1967,Slugging Average,Hank Aaron,Atlanta,.573
1967,Stolen Bases,Lou Brock,St. Louis,52
1967,Total Bases,Hank Aaron,Atlanta,344
1967,Triples,Vada Pinson,Cincinnati,13
1967,Statistic,Name(s),Team(s),#
