Year,Statistic,Name,Team,#
1931,Base on Balls,Mel Ott,New York,80
1931,Batting Average,Chick Hafey,St. Louis,.349
1931,Doubles,Sparky Adams,St. Louis,46
1931,Hits,Lloyd Waner,Pittsburgh,214
1931,Home Runs,Chuck Klein,Philadelphia,31
1931,On Base Percentage,Chick Hafey,St. Louis,.404
1931,RBI,Chuck Klein,Philadelphia,121
1931,Runs,Chuck Klein,Philadelphia,121
1931,Slugging Average,Chuck Klein,Philadelphia,.584
1931,Stolen Bases,Frankie Frisch,St. Louis,28
1931,Total Bases,Chuck Klein,Philadelphia,347
1931,Triples,Bill Terry,New York,20
1931,Statistic,Name(s),Team(s),#
