Year,Statistic,Name,Team,#
2007,Base on Balls,Barry Bonds,San Francisco,132
2007,Batting Average,Matt Holliday,Colorado,.340
2007,Doubles,Matt Holliday,Colorado,50
2007,Hits,Matt Holliday,Colorado,216
2007,Home Runs,Prince Fielder,Milwaukee,50
2007,On Base Percentage,Todd Helton,Colorado,.434
2007,RBI,Matt Holliday,Colorado,137
2007,Runs,Jimmy Rollins,Philadelphia,139
2007,Slugging Average,Prince Fielder,Milwaukee,.618
2007,Stolen Bases,Jose Reyes,New York,78
2007,Total Bases,Matt Holliday,Colorado,386
2007,Triples,Jimmy Rollins,Philadelphia,20
2007,Statistic,Name,Team,#
