Year,Statistic,Name,Team,#
1929,Base on Balls,Mel Ott,New York,113
1929,Batting Average,Lefty O'Doul,Philadelphia,.398
1929,Doubles,Johnny Frederick,Brooklyn,52
1929,Hits,Lefty O'Doul,Philadelphia,254
1929,Home Runs,Chuck Klein,Philadelphia,43
1929,On Base Percentage,Lefty O'Doul,Philadelphia,.465
1929,RBI,Hack Wilson,Chicago,159
1929,Runs,Rogers Hornsby,Chicago,156
1929,Slugging Average,Rogers Hornsby,Chicago,.679
1929,Stolen Bases,Kiki Cuyler,Chicago,43
1929,Total Bases,Rogers Hornsby,Chicago,409
1929,Triples,Lloyd Waner,Pittsburgh,20
1929,Statistic,Name(s),Team(s),#
