Date,Description,Year
August 4,"th, Rod Carew of the California Angels achieved a historic milestone by becoming the sixteenth player in Major League Baseball history to reach 3,000 career hits. At 39 years old, Carew solidified his legacy as one of the game's most illustrious hitters.",1985
November 27,", Vince Coleman won the Rookie of the Year Award and joined Frank Robinson, Orlando Cepeda, and Willie McCovey as the only unanimous winners.",1985
