Year,Statistic,Name,Team,#
1925,Base on Balls,Jack Fournier,Brooklyn,86
1925,Batting Average,Rogers Hornsby,St. Louis,.403
1925,Doubles,Jim Bottomley,St. Louis,44
1925,Hits,Jim Bottomley,St. Louis,227
1925,Home Runs,Rogers Hornsby,St. Louis,39
1925,On Base Percentage,Rogers Hornsby,St. Louis,.489
1925,RBI,Rogers Hornsby,St. Louis,143
1925,Runs,Kiki Cuyler,Pittsburgh,144
1925,Slugging Average,Rogers Hornsby,St. Louis,.756
1925,Stolen Bases,Max Carey,Pittsburgh,46
1925,Total Bases,Rogers Hornsby,St. Louis,381
1925,Triples,Kiki Cuyler,Pittsburgh,26
1925,Statistic,Name(s),Team(s),#
