Date,Description,Year
May 9,"th, the New York Giants purchased one of the tallest players ever to play professional baseball, a six foot nine pitcher named Johnny Gee from the Pittsburgh Pirates. Despite a mediocre record of 5-8, he went on to split his limited season with a 2-4 record.",1944
October 4,"th, the first all St. Louis World Series (dubbed the Streetcar Series) opened with the Browns beating the Cardinals 2-1. A Fall Classic of many firsts including no-days off, it was also the first Series in which all games were played west of the Mississippi River.",1944
July 23,", Bill Nicholson of the Chicago Cubs became the first National League player ever intentionally walked even though the bases were loaded - a feat that remained unmatched until 1998.",1944
