Year,Statistic,Name,Team,#
1908,Base on Balls,Roger Bresnahan,New York,83
1908,Batting Average,Honus Wagner,Pittsburgh,.354
1908,Doubles,Honus Wagner,Pittsburgh,39
1908,Hits,Honus Wagner,Pittsburgh,201
1908,Home Runs,Tim Jordan,Brooklyn,12
1908,On Base Percentage,Honus Wagner,Pittsburgh,.415
1908,RBI,Honus Wagner,Pittsburgh,109
1908,Runs,Fred Tenney,New York,101
1908,Slugging Average,Honus Wagner,Pittsburgh,.542
1908,Stolen Bases,Honus Wagner,Pittsburgh,53
1908,Total Bases,Honus Wagner,Pittsburgh,308
1908,Triples,Honus Wagner,Pittsburgh,19
1908,Statistic,Name(s),Team(s),#
