Date,Description,Year
February 9,"th, the British rock group The Beatles arrived in America for an appearance on the Ed Sullivan Show. It was the ""Fab 4's"" first trip to the United States and introduced their unique sound and stylish appearance to millions of American teenagers. By the week of April 4th, The Beatles had taken over the radio airways and held the top five slots on the American pop charts.",1964
April 6,"th, ""Shea Stadium"" was officially dedicated as the New York Mets ballpark. The $25 million dollar facility was named after William A. Shea who christened baseball's newest cathedral by pouring a mixture of water from the Harlem River (near the old Polo Grounds) and the Gowanus Canal (near the site of Ebbets Field) over the infield in a pre-game ceremony.",1964
April 23,", Ken Johnson of the Houston Colt .45s had no luck going his way when he pitched nine no-hit innings versus the Cincinnati Reds, but lost the game 0-1.",1964
September 13,", the St. Louis Cardinals scored at least one run during every inning to become the sixth National League team to record such a feat - a feat that is listed in its entirety in our Record Books section.",1964
