Year,Statistic,Name,Team,#
1884,Base on Balls,George Gore,Chicago,61
1884,Batting Average,King Kelly,Chicago,.354
1884,Doubles,Paul Hines,Providence,36
1884,Hits,Jim O'Rourke,Buffalo,162
1884,Home Runs,Ned Williamson,Chicago,27
1884,On Base Percentage,King Kelly,Chicago,.414
1884,RBI,Cap Anson,Chicago,102
1884,Runs,King Kelly,Chicago,120
1884,Slugging Average,Dan Brouthers,Buffalo,.563
1884,Total Bases,Abner Dalrymple,Chicago,263
1884,Triples,Buck Ewing,New York,20
1884,Statistic,Name(s),Team(s),#
