Year,Statistic,Name,Team,#
1904,Base on Balls,Roy Thomas,Philadelphia,102
1904,Batting Average,Honus Wagner,Pittsburgh,.349
1904,Doubles,Honus Wagner,Pittsburgh,44
1904,Hits,Ginger Beaumont,Pittsburgh,185
1904,Home Runs,Harry Lumley,Brooklyn,9
1904,On Base Percentage,Honus Wagner,Pittsburgh,.423
1904,RBI,Bill Dahlen,New York,80
1904,Runs,George Browne,New York,99
1904,Slugging Average,Honus Wagner,Pittsburgh,.520
1904,Stolen Bases,Honus Wagner,Pittsburgh,53
1904,Total Bases,Honus Wagner,Pittsburgh,255
1904,Triples,Harry Lumley,Brooklyn,18
1904,Statistic,Name(s),Team(s),#
