Date,Description,Year
April 17,", Patriots' Day, the Boston Red Sox wore home white jerseys with ""BOSTON"" written on the front to mark the four year anniversary of the Boston Marathon bombings. The uniform also sported the 2013 navy-blue circular patch with a white border on the left shoulder saying ""B Strong"" (with the red B in the classic font featured on the Red Sox's caps).",2017
August 20,", the Pittsburgh Pirates and St. Louis Cardinals played a game at the minor league BB&T Ballpark in Williamsport, Pennsylvania. The game coincided with the Little League World Series, held annually in nearby South Williamsport, and was exclusively attended by Little League players and their families.",2017
