Date,Description,Year
June 8,"th, the Red Sox recorded the most lopsided victory in baseball history after crushing the visiting St. Louis Browns 29-4. Boston also set several Major League records including most extra bases on long hits (thirty-two) in a game, and the most extra bases on long hits in consecutive games (fifty-one). Leadoff batter Clyde Vollmer set a Major League mark of his own as the only batter to go to the plate eight times in eight innings.",1950
July 16,"th, players from around the league connected for thirty-seven combined home runs setting a new Major League record. Leading the home run derby was the Cincinnati Reds who posted two wins over the New York Giants, 16-4 and 11-10.",1950
August 26,", either the manager or the pitcher (Ken Raffensberger) of the Cincinnati Reds made the wrong call when Gil Hodges reached based 3 consecutive times and was driven in each time by a Roy Campanella home run.",1950
September 3,", Ron Northey hit a pinch hit grand slam for the St. Louis Cardinals. On May 30, 1948, Northey, during game two of a doubleheader, duplicated his pinch hit grand slam feat. On September 18, 1950, Northey, now playing for the Chicago Cubs, became the first Major League player in history with 3 career pinch hit grand slams.",1950
