Year,Statistic,Name,Team,#
1892,Base on Balls,Jack Crooks,St. Louis,136
1892,Batting Average,Dan Brouthers,Brooklyn,.335
1892,Doubles,Roger Connor,Philadelphia,37
1892,Hits,Dan Brouthers,Brooklyn,197
1892,Home Runs,Bug Holliday,Cincinnati,13
1892,On Base Percentage,Cupid Childs,Cleveland,.443
1892,RBI,Dan Brouthers,Brooklyn,124
1892,Runs,Cupid Childs,Cleveland,136
1892,Slugging Average,Ed Delahanty,Philadelphia,.495
1892,Stolen Bases,John Ward,Brooklyn,88
1892,Total Bases,Dan Brouthers,Brooklyn,282
1892,Triples,Ed Delahanty,Philadelphia,21
1892,Statistic,Name(s),Team(s),#
