Date,Description,Year
March 29,", the Chicago Cubs and New York Mets opened the season in the first regular season game ever played outside of North America.",2000
March 30,", the Chicago Cubs and New York Mets matched up again and the first ever regular season extra-inning game was played outside of North America.",2000
