Year,Statistic,Name,Team,#
2012,Base on Balls,Dan Uggla,Atlanta,94
2012,Batting Average,Buster Posey *,San Francisco,.336
2012,Doubles,Aramis Ramirez,Milwaukee,50
2012,Hits,Andrew McCutchen,Pittsburgh,194
2012,Home Runs,Ryan Braun,Milwaukee,41
2012,On Base Percentage,Joey Votto,Cincinnati,.474
2012,RBI,Chase Headley,San Diego,115
2012,Runs,Ryan Braun,Milwaukee,108
2012,Slugging Average,Mike Stanton,Miami,.608
2012,Stolen Bases,Everth Cabrera,San Diego,44
2012,Total Bases,Ryan Braun,Milwaukee,356
2012,Triples,Angel Pagan,San Francisco,15
2012,Statistic,Name,Team,#
