Year,Statistic,Name,Team,#
1877,Complete Games,Jim Devlin,Louisville,61
1877,ERA,Tommy Bond,Boston,2.11
1877,Games,Jim Devlin,Louisville,61
1877,Saves,Cal McVey,Chicago,2
1877,Shutouts,Tommy Bond,Boston,6
1877,Strikeouts,Tommy Bond,Boston,170
1877,Winning Percentage,Tommy Bond,Boston,.702
1877,Wins,Tommy Bond,Boston,40
1877,Statistic,Name(s),Team(s),#
