Year,Statistic,Name,Team,#
1894,Base on Balls,Billy Hamilton,Philadelphia,126
1894,Batting Average,Hugh Duffy,Boston,.440
1894,Doubles,Hugh Duffy,Boston,51
1894,Hits,Hugh Duffy,Boston,237
1894,Home Runs,Hugh Duffy,Boston,18
1894,On Base Percentage,Billy Hamilton,Philadelphia,.523
1894,RBI,Hugh Duffy,Boston,145
1894,Runs,Billy Hamilton,Philadelphia,192
1894,Slugging Average,Hugh Duffy,Boston,.694
1894,Stolen Bases,Billy Hamilton,Philadelphia,98
1894,Total Bases,Hugh Duffy,Boston,374
1894,Triples,Heinie Reitz,Baltimore,31
1894,Statistic,Name(s),Team(s),#
