Date,Description,Year
April 7,", the Atlanta Braves held a ring-ceremony at Truist Field to celebrate their world championship title during the 2021 World Series.",2022
December 2,", the Commissioner of Baseball, Rob Manfred, announced there was a lockout. The collective bargaining agreement (CBA) between Major League Baseball and the Major League Baseball Players Association (MLBPA) expired, the two sides were unable to come to an agreement, and the lockout began. Nearly three months later, Spring Training resumed.",2022
