Year,Statistic,Name,Team,#
1957,Base on Balls,Richie Ashburn,Philadelphia,94
1957,Batting Average,Stan Musial,St. Louis,.351
1957,Doubles,Don Hoak,Cincinnati,39
1957,Hits,Red Schoendienst,New York,200
1957,Home Runs,Hank Aaron,Milwaukee,44
1957,On Base Percentage,Stan Musial,St. Louis,.428
1957,RBI,Hank Aaron,Milwaukee,132
1957,Runs,Hank Aaron,Milwaukee,118
1957,Slugging Average,Willie Mays,New York,.626
1957,Stolen Bases,Willie Mays,New York,38
1957,Total Bases,Hank Aaron,Milwaukee,369
1957,Triples,Willie Mays,New York,20
1957,Statistic,Name(s),Team(s),#
