Year,Statistic,Name,Team,#
1954,Base on Balls,Richie Ashburn,Philadelphia,125
1954,Batting Average,Willie Mays,New York,.345
1954,Doubles,Stan Musial,St. Louis,41
1954,Hits,Don Mueller,New York,212
1954,Home Runs,Ted Kluszewski,Cincinnati,49
1954,On Base Percentage,Richie Ashburn,Philadelphia,.442
1954,RBI,Ted Kluszewski,Cincinnati,141
1954,Runs,Stan Musial,St. Louis,120
1954,Slugging Average,Willie Mays,New York,.667
1954,Stolen Bases,Bill Bruton,Milwaukee,34
1954,Total Bases,Duke Snider,Brooklyn,378
1954,Triples,Willie Mays,New York,13
1954,Statistic,Name(s),Team(s),#
