Date,Description,Year
September 9,"th, three-quarters of the Boston police force voted to go on strike. Massachusetts Governor Calvin Coolidge quickly intervened to dismiss the strikers, stating that no labor dispute would be allowed to compromise public safety.",1919
June 23,"rd, Boston Red Sox first baseman Stuffy McInnis made his first fielding error after successfully handling five-hundred twenty-six chances.",1919
June 8,"th, the Philadelphia Phillies outsmarted the New York Giants and broke the record for most stolen bases in an inning (set by Washington in 1915) after four runners made it to first base in the ninth and each stole both second and third.",1919
