Year,Statistic,Name,Team,#
1883,Base on Balls,Tom York,Cleveland,37
1883,Batting Average,Dan Brouthers,Buffalo,.374
1883,Doubles,Ned Williamson,Chicago,49
1883,Hits,Dan Brouthers,Buffalo,159
1883,Home Runs,Buck Ewing,New York,10
1883,On Base Percentage,Dan Brouthers,Buffalo,.397
1883,RBI,Dan Brouthers,Buffalo,97
1883,Runs,Joe Hornung,Boston,107
1883,Slugging Average,Dan Brouthers,Buffalo,.572
1883,Total Bases,Dan Brouthers,Buffalo,243
1883,Triples,Dan Brouthers,Buffalo,17
1883,Statistic,Name(s),Team(s),#
