Year,Statistic,Name,Team,#
1988,Base on Balls,Will Clark,San Francisco,100
1988,Batting Average,Tony Gwynn,San Diego,.313
1988,Doubles,Andres Galarraga,Montreal,42
1988,Hits,Andres Galarraga,Montreal,184
1988,Home Runs,Darryl Strawberry,New York,39
1988,On Base Percentage,Kal Daniels,Cincinnati,.400
1988,RBI,Will Clark,San Francisco,109
1988,Runs,Brett Butler,San Francisco,109
1988,Slugging Average,Darryl Strawberry,New York,.545
1988,Stolen Bases,Vince Coleman,St. Louis,81
1988,Total Bases,Andres Galarraga,Montreal,329
1988,Triples,Andy Van Slyke,Pittsburgh,15
1988,Statistic,Name(s),Team(s),#
