Date,Description,Year
May 12,"th, the United States military detonated the first hydrogen bomb on an uninhabited testing island in the Pacific. The development of an A-bomb by the Russians had convinced the U.S. to proceed with development of the H-bomb version, which was several times more powerful than the atomic bombs dropped on both Hiroshima and Nagasaki to prompt the end of World War II.",1951
September 13,"th, the St. Louis Cardinals became the first team since 1883 to play a doubleheader against two different teams on the same day. First they went up against the New York Giants (for a rescheduled rain game) and lost 4-6, then they fell 0-2 to the Boston Braves in their regularly scheduled night game.",1951
April 18,"th, as part of a pre-game publicity stunt, golf legend Sam Snead teed off from home plate at Wrigley Field and bounced a golf ball off of the center field scoreboard. He was the first player ever to reach the structure and the Chicago Cubs followed suite with an 8-3 win over the visiting Cincinnati Reds.",1951
October 3,", Bobby Thomson hit the Shot Heard Round The World and Russ Hodges uttered the quotation found at the top of the page. The Dodgers' announcer, Red Barber, was a little less exuberant and described the shot with, ""It's in there for the pennant.""",1951
