Date,Description,Year
June 27,"th, Larry Corcoran of the Chicago White Stockings became the first pitcher in Major League history with three career no-hitters after blanking the Providence Grays 6-0.",1884
May 1,", Fleet Walker of the 1884 Toledo Blue Stockings stepped on the field and became the first black Major League baseball player. He had a tough day going 0-for-3 at the plate and committing four errors in the field, but improved during his next forty-one games until injuries sidelined him in September.",1884
