Date,Description,Year
February 20,", astronaut John Glenn became the first American to orbit the Earth. Flying aboard his spacecraft, Friendship Seven, the Marine Lieutenant travelled roughly 81,000 miles as he circled our planet three times at speeds greater than 17,000 mph.",1962
February 1,", the National League released its first 162-game schedule, including a record 421 scheduled night games, up from 318 in 1961.",1962
September 7,"th, Los Angeles Dodger Maury Wills stole four bases off the Pittsburgh Pirates setting a National League record for eighty-two ""robberies"" in a single season.",1962
July 25,", Stan Musial drove in two runs with a blast to left field giving him a new National League record — 1,862 career runs batted in! [RBI Records]",1962
