Date,Description,Year
August 8,"th, 1974 Richard Nixon became the first President in U.S. history to resign. His decision to step down came as the House of Representatives was poised to vote on the articles of impeachment against him due to his involvement the Watergate scandal.",1974
June 29,"th, Lou Brock nabbed his seven-hundredth bag at Wrigley Field as the St. Louis Cardinals crushed the hometown ""Cubbies"" 11-2. Brock's sixty-fifth robbery of the season put him in the company of baseball's greatest ""criminals"" including Ty Cobb, who stole eight-hundred ninety-two bases, Eddie Collins (seven-hundred forty-three), Max Carey (seven-hundred thirty-eight) and Honus Wagner (seven-hundred one).",1974
April 4,", Hammerin' Hank Aaron tied the all-time home run mark set by Babe Ruth. On April 8, 1974, Aaron beat the unbeatable record and Baseball Almanac has both box scores online for you to review.",1974
September 25,", Tommy John surgery became a household word when Dr. Frank Jobe successfully removed a tendon from Tommy John's right arm and transplanted it into his left (throwing) arm ""repairing"" the damage to his torn muscles. John commented later that year, ""When they operated I told them to put in a (Sandy) Koufax fastball. They did, but it was Mrs. Koufax's.""",1974
