Year,Statistic,Name,Team,#
2020,Base on Balls,Bryce Harper,Philadelphia Phillies,49
2020,Batting Average,Juan Soto,Washington Nationals,.351
2020,Doubles,Freddie Freeman,Atlanta Braves,23
2020,Hits,Trea Turner,Washington Nationals,78
2020,Home Runs,Marcell Ozuna,Atlanta Braves,18
2020,On Base Percentage,Juan Soto,Washington Nationals,.490
2020,RBI,Marcell Ozuna,Atlanta Braves,56
2020,Runs,Freddie Freeman,Atlanta Braves,51
2020,Slugging Average,Juan Soto,Washington Nationals,.695
2020,Stolen Bases,Trevor Story,Colorado Rockies,15
2020,Total Bases,Marcell Ozuna,Atlanta Braves,145
2020,Triples,Trevor Story,Colorado Rockies,4
2020,Statistic,Name,Team,#
