Year,Statistic,Name,Team,#
1901,Base on Balls,Roy Thomas,Philadelphia,100
1901,Batting Average,Jesse Burkett,St. Louis,.376
1901,Doubles,Tom Daly,Brooklyn,38
1901,Hits,Jesse Burkett,St. Louis,226
1901,Home Runs,Sam Crawford,Cincinnati,16
1901,On Base Percentage,Jesse Burkett,St. Louis,.440
1901,RBI,Honus Wagner,Pittsburgh,126
1901,Runs,Jesse Burkett,St. Louis,142
1901,Slugging Average,Jimmy Sheckard,Brooklyn,.534
1901,Stolen Bases,Honus Wagner,Pittsburgh,49
1901,Total Bases,Jesse Burkett,St. Louis,306
1901,Triples,Jimmy Sheckard,Brooklyn,19
1901,Statistic,Name(s),Team(s),#
