Year,Statistic,Name,Team,#
1998,Base on Balls,Mark McGwire,St. Louis,162
1998,Batting Average,Larry Walker,Colorado,.363
1998,Doubles,Craig Biggio,Houston,51
1998,Hits,Dante Bichette,Colorado,219
1998,Home Runs,Mark McGwire,St. Louis,70
1998,On Base Percentage,Mark McGwire,St. Louis,.473
1998,RBI,Sammy Sosa,Chicago,158
1998,Runs,Sammy Sosa,Chicago,134
1998,Slugging Average,Mark McGwire,St. Louis,.752
1998,Stolen Bases,Tony Womack,Pittsburgh,58
1998,Total Bases,Sammy Sosa,Chicago,416
1998,Triples,David Dellucci,Arizona,12
1998,Statistic,Name,Team,#
