Year,Statistic,Name,Team,#
1948,Complete Games,Johnny Sain,Boston,28
1948,ERA,Harry Brecheen,St. Louis,2.24
1948,Games,Harry Gumbert,Cincinnati,61
1948,Saves,Harry Gumbert,Cincinnati,17
1948,Shutouts,Harry Brecheen,St. Louis,7
1948,Strikeouts,Harry Brecheen,St. Louis,149
1948,Winning Percentage,Harry Brecheen,St. Louis,.741
1948,Wins,Johnny Sain,Boston,24
1948,Statistic,Name(s),Team(s),#
