Year,Statistic,Name,Team,#
1993,Walks,Lenny Dykstra,Philadelphia,129
1993,Batting Average,Andres Galarraga,Colorado,.370
1993,Doubles,Charlie Hayes,Colorado,45
1993,Hits,Lenny Dykstra,Philadelphia,194
1993,Home Runs,Barry Bonds,San Francisco,46
1993,On Base Percentage,Barry Bonds,San Francisco,.463
1993,RBI,Barry Bonds,San Francisco,123
1993,Runs,Lenny Dykstra,Philadelphia,143
1993,Slugging Average,Barry Bonds,San Francisco,.677
1993,Stolen Bases,Chuck Carr,Florida,58
1993,Total Bases,Barry Bonds,San Francisco,365
1993,Triples,Steve Finley,Houston,13
1993,Statistic,Name,Team,#
