Date,Description,Year
May 11,"th, Cleveland Indians outfielder Bibb Falk accomplished true offensive symmetry after collecting five hits, five runs batted in and five runs (in the first five innings) during a 25-7 massacre over the Philadelphia Athletics.",1930
March 8,"th, Babe Ruth signed a new two year contract for $160,000 with the New York Yankees. At $80,000 per year, ""The Sultan of Swat"" became the highest paid player of all time and earned more money than the President of the United States. In an effort to assure posterity, Yankees General Manager Ed Barrow was quoted as saying that ""No one in baseball will ever be paid more than Ruth.""",1930
November 23,"rd, Red Badgro, a St. Louis Browns outfielder / New York Giants receiver caught his third touchdown pass of the season (against the Green Bay Packers) igniting a two-sport career that would eventually land him in the Football Hall of Fame in 1981.",1930
